New York Review of Books,4,3,0,0.00
newsweek,4,3,0,0.00
novyi zhurnal,4,2,0,0.00
NYPG89-S5779,4,1,0,0.00
O Filme curto,4,1,0,0.00
o'connor collected works,4,2,0,0.00
odessa,4,2,0,0.00
ole benedictow,4,3,0,0.00
"organ ""musical opinion""",4,4,0,0.00
Painters and public life in eighteenth-century Paris,4,1,0,0.00
Paola Peretti,4,1,0,0.00
parlaghy,4,3,0,0.00
paul cornoyer,4,1,0,0.00
pearson's magazine,4,4,0,0.00
performing arts in canada,4,4,0,0.00
Philp k dick,4,1,0,0.00
Plays and playwrights 2003,4,1,0,0.00
potter,4,4,0,0.00
practica della cambiatura,4,4,0,0.00
"Price, J. L.",4,1,0,0.00
Proceedings of the Boston Area Colloquium in Ancient Philosophy,4,4,0,0.00
reinerman Austria papacy,4,3,0,0.00
Richard burton,4,1,0,0.00
Rivista Italiana di Numismatica e Scienze Affini,4,4,0,0.00
"Roman Female Praenomina: Studies in the Nomenclature of Roman Women",4,1,0,0.00
San Francisco Chronicle,4,4,0,0.00
science,4,4,0,0.00
serena,4,2,0,0.00
Société d’Histoire et d’Archéologie de Genève,4,2,0,0.00
Southern Committee to Uphold the Constitution,4,2,0,0.00
Spectrochimica Acta,4,2,0,0.00
steven holl,4,2,0,0.00
sutton family,4,4,0,0.00
Technics and Civilization,4,3,0,0.00
the atlantic,4,4,0,0.00
The invention of Africa,4,2,0,0.00
the letters of margaret fuller,4,2,0,0.00
the rudder,4,3,0,0.00
"The Texts From the Judaean Desert, Indices and an Introduction to the Discoveries in the Judaean Desert Series",4,3,0,0.00
The wife between us,4,2,0,0.00
Theatre Arts Monthly,4,3,0,0.00
timothy leary,4,4,0,0.00
Tisa Chang,4,2,0,0.00
toni morrison,4,4,0,0.00
United States telephone directories,4,4,0,0.00
Universitas,4,2,0,0.00
wakanda,4,1,0,0.00
wheater's functional histology,4,4,0,0.00
yad vashem studies,4,4,0,0.00
"'Niki de Saint Phalle: Ici, tout est possible",3,2,0,0.00
"""american symphony orchestra league"" newsletter",3,3,0,0.00
"""Conversations with James Baldwin""",3,2,0,0.00
"""Grossman, Sid""",3,1,0,0.00
"""life with the aborigines""",3,1,0,0.00
"""peck & Peck""",3,1,0,0.00
"""sam manning""",3,3,0,0.00
"""Science and film.""",3,1,0,0.00
"""stock guide""",3,1,0,0.00
"""the organ"" ""musical opinion""",3,3,0,0.00
"""urban academic librarian""",3,2,0,0.00
*ZY,3,1,0,0.00
0024-6336,3,1,0,0.00
00478318,3,1,0,0.00
0500238278,3,2,0,0.00
"10,000 vital records of central New York, 1813-1850 / Fred Q. Bowman.",3,1,0,0.00
14117602,3,1,0,0.00
1650,3,1,0,0.00
20th century music,3,2,0,0.00
398.2,3,1,0,0.00
44079212,3,1,0,0.00
50015461,3,1,0,0.00
9789597178248,3,2,0,0.00
9789653085879,3,1,0,0.00
A History of the School for International Affairs,3,2,0,0.00
A vindication of the rights of woman,3,1,0,0.00
acs chemical biology,3,3,0,0.00
adanna,3,2,0,0.00
adrain rollini vibraharp method,3,1,0,0.00
aeronautical digest,3,2,0,0.00
African book publishing record.,3,2,0,0.00
"Agnes Martin : paintings and drawings = schilderijen en tekeningen = peintures et dessins = Gemälde und Zeichnungen, 1974-1990",3,2,0,0.00
agnes waters,3,2,0,0.00
alejandra pizarnik,3,2,0,0.00
alice childress,3,2,0,0.00
Alison's zinnia,3,2,0,0.00
altbabylonisthe briese,3,1,0,0.00
american genealogist,3,2,0,0.00
american harp journal,3,2,0,0.00
american jewish history,3,2,0,0.00
american organist,3,2,0,0.00
american record guide,3,3,0,0.00
american woman,3,3,0,0.00
Annales Francais Etranger,3,2,0,0.00
Annali dell’Istituto Italiano per gli Studi Storici XVI,3,1,0,0.00
Annegret Hoberg,3,1,0,0.00
"Annual of architecture, structure & townplanning",3,1,0,0.00
"Annual of architecture, structure & townplanning.",3,1,0,0.00
Archibald Strath Maxwell,3,2,0,0.00
Architecture with and without Le Corbusier,3,3,0,0.00
archives,3,3,0,0.00
Archivium Franciscanum Historicum,3,2,0,0.00
arkady,3,1,0,0.00
Arkitektur,3,3,0,0.00
ARQ,3,1,0,0.00
art & antiques,3,2,0,0.00
art front,3,1,0,0.00
art in america,3,3,0,0.00
art news,3,3,0,0.00
"Arte, historia e identidad en América",3,2,0,0.00
Arthur dihm,3,2,0,0.00
artsink,3,3,0,0.00
Arulmalarmaali Sulamangalamsisters,3,1,0,0.00
asfsdfdslj,3,3,0,0.00
atiqot,3,2,0,0.00
Australian assimilation,3,1,0,0.00
ayako uchiyama choreographer,3,1,0,0.00
B.K. KARKRA,3,2,0,0.00
Bad blood,3,1,0,0.00
Banque et Crédit en Italie au XVIIe siècle,3,3,0,0.00
Baseball,3,3,0,0.00
bauhaus,3,2,0,0.00
beatrix,3,1,0,0.00
Belkis Ayón,3,3,0,0.00
benedict anderson,3,1,0,0.00
berehy zemli,3,3,0,0.00
biber,3,1,0,0.00
Bienalle,3,1,0,0.00
bobbin lace,3,2,0,0.00
book,3,2,0,0.00
Book of leyburn,3,1,0,0.00
boston globe,3,3,0,0.00
Botanical Journal of the Linnean Society,3,3,0,0.00
bourdon,3,3,0,0.00
Bozner Messen und ihr Zahlungsverkehr,3,2,0,0.00
Brain a journal of neurology,3,1,0,0.00
british journal of dermatology,3,2,0,0.00
broadway ballyhoo,3,3,0,0.00
cahiers de la guitare,3,2,0,0.00
cahiers du cinema,3,3,0,0.00
calzascia,3,3,0,0.00
canadian jewish news,3,3,0,0.00
car,3,2,0,0.00
caribbean jazz,3,3,0,0.00
"Carlene Stephens, On Time: How America Has learned to live by the clock",3,1,0,0.00
Carnival Canboulay Calypso,3,2,0,0.00
carulli,3,3,0,0.00
Cattaneo occhi maria,3,3,0,0.00
censuras pistoya,3,1,0,0.00
charities jewish,3,2,0,0.00
chemistry,3,2,0,0.00
chicago,3,1,0,0.00
Chicago,3,3,0,0.00
chicago wfmt,3,2,0,0.00
chinese snacks,3,2,0,0.00
Chronika tou Pontou,3,3,0,0.00
chronique huygens,3,2,0,0.00
civil rights,3,3,0,0.00
civil war,3,3,0,0.00
classical guitar,3,2,0,0.00
claude kress,3,2,0,0.00
claude mckay,3,2,0,0.00
"Claudii Claudiani (Claudiano), Carmina Minora, introduzione, traduzione e commento a cura di Maria Luisa Ricci, presentazione di Luigi Piacente, Edipuglia, Bari 2001",3,1,0,0.00
Clavicordio,3,3,0,0.00
clavier,3,3,0,0.00
climate changae,3,2,0,0.00
cognition,3,1,0,0.00
Cognitioni Gestorum,3,3,0,0.00
College & pro football newsweekly,3,1,0,0.00
collier's,3,3,0,0.00
Consumer Report Home printers,3,1,0,0.00
Contact or isolation,3,1,0,0.00
"Cowan, History of the Russian Institute",3,2,0,0.00
critical inquiry,3,1,0,0.00
Cuando el feminismo era mala palabra,3,2,0,0.00
cuban cinema companion,3,3,0,0.00
current opinion in genetics,3,1,0,0.00
cy twombly catalogue raisonne of drawings,3,1,0,0.00
danas,3,3,0,0.00
Daniel Nettle,3,1,0,0.00
David Hall,3,1,0,0.00
dawn of technicolor,3,3,0,0.00
"Dee, John, 1527-1608.",3,1,0,0.00
Dictionnaire universel de l'art des artistes,3,1,0,0.00
Differences in the intellectual and social functioning between children born to Black adolescent and older mothers.,3,3,0,0.00
Dime Adventure Magazine,3,1,0,0.00
Dion dimucci,3,1,0,0.00
Dirk Schumann,3,1,0,0.00
Dits et écrits,3,1,0,0.00
divagations,3,1,0,0.00
"DIVERSITY, INCLUSION, AND REPRESENTATION IN CONTEMPORARY DRAMATURGY",3,2,0,0.00
Docendo Discimus.,3,3,0,0.00
Documents on British policy overseas. Series II,3,1,0,0.00
Dogs,3,3,0,0.00
dogs dogs dogs,3,2,0,0.00
domus,3,2,0,0.00
Domus,3,3,0,0.00
Dorset natural history and archaeological society,3,1,0,0.00
double reed,3,3,0,0.00
Early Christian Poetry: A Collection of Essays,3,3,0,0.00
economic dictionary plants,3,2,0,0.00
"Eileen Gray (1878-1976) : de Jean Désert à Tempe a Pailla = from Jean Désert to Tempe a Pailla / conception et rédaction des textes, Jacque de Vos.",3,2,0,0.00
el diario la prensa,3,3,0,0.00
eleanor roosevelt,3,1,0,0.00
Electronic Gaming Monthly,3,2,0,0.00
Eslick,3,2,0,0.00
estetica del nichilismo,3,2,0,0.00
estetica del nichilismo e altri saggi,3,2,0,0.00
Estudios sobre Lope de Vega,3,2,0,0.00
Eugene M. Schwartz,3,1,0,0.00
Evicted,3,2,0,0.00
factores geograficos de la cubanidad,3,2,0,0.00
factories geograficos de la cubanidad,3,1,0,0.00
fanfare,3,3,0,0.00
Festskrift til Jørgen Sømod,3,2,0,0.00
Feynman,3,1,0,0.00
"Fictitious beasts, a bibliography",3,2,0,0.00
first black president in America,3,1,0,0.00
fishkill,3,2,0,0.00
flute talk,3,3,0,0.00
fortune magazine,3,3,0,0.00
Francis Aïqui,3,1,0,0.00
frank loesser,3,1,0,0.00
frankfurter allgemeine,3,2,0,0.00
Franklin f. hopper,3,1,0,0.00
fred ebb,3,3,0,0.00
frets,3,3,0,0.00
"fry, edward",3,1,0,0.00
Gaceta Numismática,3,3,0,0.00
Galloping Conductors,3,1,0,0.00
Genetic Resources and Crop Evolution,3,2,0,0.00
George Gershwin his journey to greatness ewen,3,2,0,0.00
George Gershwin merle armitage,3,3,0,0.00
germany,3,2,0,0.00
Gershwin his journey to greatness david ewen,3,2,0,0.00
glimmer train stories,3,1,0,0.00
glutahione revolution,3,1,0,0.00
gmat,3,2,0,0.00
Gotham history of new york,3,1,0,0.00
Göttinger Miszellen,3,3,0,0.00
gottschalk,3,1,0,0.00
"grandin, greg",3,2,0,0.00
graphis,3,2,0,0.00
grau contre sainte-beuve,3,2,0,0.00
greaves,3,3,0,0.00
grids grids grids,3,2,0,0.00
Group family Fernando botero 1984,3,1,0,0.00
Group Processes,3,1,0,0.00
"Guillaud, Jacqueline. Giotto. New York : C.N. Potter",3,1,0,0.00
Gunther Anders,3,2,0,0.00
Handbook of Welfare in China,3,1,0,0.00
Harlem,3,3,0,0.00
Harold Pinter,3,2,0,0.00
Haroonuzzaman,3,1,0,0.00
harper's,3,2,0,0.00
hatch,3,3,0,0.00
Helena Petrovna Blavatsky,3,1,0,0.00
Herman Hertzberger : recent works,3,2,0,0.00
heroism and global politics,3,1,0,0.00
heschel abrahama,3,1,0,0.00
Hesperia,3,2,0,0.00
Hesperia 57 (1988),3,1,0,0.00
Heterosyncracies,3,1,0,0.00
high fidelity and musical america,3,3,0,0.00
high times,3,3,0,0.00
hip hop around the world,3,2,0,0.00
Historia de familias cubanas,3,1,0,0.00
Hoover ili Smith,3,1,0,0.00
horn book magazine,3,2,0,0.00
hospital sketches,3,3,0,0.00
human and ecological risk assessment,3,1,0,0.00
Hungarian women's activism in the wake of the First World War,3,3,0,0.00
Hush,3,1,0,0.00
IBIS,3,3,0,0.00
Iconography of manhattan island,3,3,0,0.00
Ida Augusta Pratt,3,1,0,0.00
il bienno rosso,3,1,0,0.00
In the heights,3,1,0,0.00
irish immigration,3,1,0,0.00
island of a thousand mirrors,3,1,0,0.00
isole eolie,3,1,0,0.00
israel under netanyahu,3,3,0,0.00
J. Gallet,3,1,0,0.00
JAY M-964,3,2,0,0.00
jelly's last jam,3,2,0,0.00
jmm 92-6,3,1,0,0.00
"Johann Sebastian Bach : life and work / Martin Geck translated from the German by John Hargraves.;""Bach. English""",3,1,0,0.00
John Stone,3,1,0,0.00
Jones Beach State Park (N.Y.),3,3,0,0.00
joni,3,1,0,0.00
"José Gobello, Marcelo Héctor Oliveri.",3,1,0,0.00
journal,3,3,0,0.00
journal of african cultural studies,3,3,0,0.00
journal of america,3,3,0,0.00
journal of black,3,2,0,0.00
Journal of Economic and business History,3,2,0,0.00
Journal of Neural Transmission,3,1,0,0.00
Kamtigidi,3,1,0,0.00
kandinsky,3,2,0,0.00
Kennedy Chappaquiddick,3,1,0,0.00
kimshonim,3,3,0,0.00
"kleinberg, howard",3,3,0,0.00
Klytus Smith,3,1,0,0.00
Konsthistorisk tidskrift,3,2,0,0.00
kunst und politik,3,2,0,0.00
kupperman indians and english facing off,3,3,0,0.00
La terrasse du temple,3,2,0,0.00
La XIIIe Dynastie: Histoire de la fin du Moyen Empire égyptien,3,3,0,0.00
Land Dispossession and Rural Politics in Eastern India,3,2,0,0.00
latreille catechisme,3,3,0,0.00
Le pélerinage Chiite et l'hygiène,3,2,0,0.00
leaving a dolls house,3,3,0,0.00
Lee Krasner A Catalogue Raisonné,3,1,0,0.00
"Leflon, Etienne- Alexandre Bernier, évêque d'Orléans, et l'application du Concordat,",3,1,0,0.00
Lenguas aplicadas a las ciencias y la tecnologia,3,2,0,0.00
"levi-strauss, claude",3,1,0,0.00
Lexicon Topographicum Urbis Romae,3,2,0,0.00
licorne,3,2,0,0.00
life,3,3,0,0.00
List of film distributors,3,1,0,0.00
"Literatura (Warszawa, Poland)",3,1,0,0.00
little merchants 1808,3,2,0,0.00
lou reed,3,3,0,0.00
Lynching,3,1,0,0.00
Madhav Gadgil,3,3,0,0.00
Magazine of Art,3,3,0,0.00
magic tree house,3,1,0,0.00
maltezou,3,3,0,0.00
Manuscripta,3,3,0,0.00
Manushag Powell,3,2,0,0.00
map,3,3,0,0.00
Marilyn manson,3,1,0,0.00
maximum rock'n'roll,3,1,0,0.00
Maybe you should talk to someone,3,3,0,0.00
MCX C.R.,3,1,0,0.00
medicine,3,1,0,0.00
Mediterraneo Genovese. Storia e Architettura.,3,2,0,0.00
metal worker,3,2,0,0.00
mexico city,3,1,0,0.00
mgyb,3,2,0,0.00
miro weelan,3,1,0,0.00
Missler,3,1,0,0.00
modes and manners,3,2,0,0.00
monograms beautify linens,3,1,0,0.00
monsalvat,3,1,0,0.00
mother's crusade,3,2,0,0.00
motor age,3,2,0,0.00
MOVEMENT DIRECTORS IN CONTEMPORARY THEATRE,3,1,0,0.00
Mozart concert k 246,3,1,0,0.00
Mozart piano concerto k246,3,1,0,0.00
"mulvey, laura",3,2,0,0.00
Muntadher saleh,3,2,0,0.00
Music News,3,3,0,0.00
my wealth has come,3,1,0,0.00
N'digo,3,3,0,0.00
national legion of mothers,3,2,0,0.00
"Necessity and challenges to the trial of crimes against humanity, genocide & war crimes of 1971 in Bangladesh",3,2,0,0.00
new york native,3,3,0,0.00
new york police department special orders,3,2,0,0.00
New York Post,3,3,0,0.00
New York Post Magazine,3,1,0,0.00
New York State Temporary State Commission on the Water Supply Needs of Southeastern New York,3,3,0,0.00
New Yorker,3,2,0,0.00
Nicanor Parra,3,1,0,0.00
norman lewis,3,3,0,0.00
nouvel observateur,3,2,0,0.00
Nova de veteribus,3,3,0,0.00
nuhi veselaj,3,2,0,0.00
Numismatische Zeitschrift,3,3,0,0.00
Numizmatikai közlöny,3,3,0,0.00
ny times,3,3,0,0.00
NYGB AZ+ Loc 09-677,3,1,0,0.00
nyp1266080,3,1,0,0.00
Nypl,3,1,0,0.00
olavide l'afrancesado,3,1,0,0.00
olympic athletes and drug use,3,1,0,0.00
Omega Psi Phi Fraternity & the Men Who Made Its History a Concise History,3,2,0,0.00
On intersectionality : essential writings,3,3,0,0.00
On Writing,3,2,0,0.00
opera actual,3,3,0,0.00
opera quarterly,3,2,0,0.00
opianie korei,3,1,0,0.00
Oracles et prophéties dans l'antiquité,3,3,0,0.00
organ,3,2,0,0.00
osterreichische gesellschaft fur musik,3,3,0,0.00
ottoman empire,3,2,0,0.00
Ottoman empire,3,1,0,0.00
"Pacheco, José Emilio",3,1,0,0.00
Padura,3,3,0,0.00
paganini,3,1,0,0.00
paraguay,3,3,0,0.00
parametro,3,2,0,0.00
paul ganz holbein,3,1,0,0.00
Philosophy of Technology The Technological Condition,3,1,0,0.00
piano,3,3,0,0.00
PM newspaper,3,1,0,0.00
"Política, iglesia y partidos en Colombia, 1886-1953",3,3,0,0.00
Political Studies,3,2,0,0.00
"Popular Autocracy in Greece, 1936-1941",3,1,0,0.00
popular photography,3,2,0,0.00
populism,3,3,0,0.00
pranchere maistre,3,2,0,0.00
"Protestant Nationalist In Ireland 1900-1923, Conor Morrissey",3,1,0,0.00
Psicopatología,3,3,0,0.00
